0,12200000,0,90000,9,810000
0,12200000,1,70000,6,420000
0,12200000,2,270000,5,1350000
0,12200000,3,100000,7,700000
0,12200000,4,160000,8,1280000
0,12200000,5,60000,10,600000
0,12200000,6,90000,7,630000
0,12200000,7,70000,8,560000
0,12200000,8,120000,6,720000
0,12200000,9,120000,6,720000
0,12200000,10,170000,8,1360000
0,12200000,11,170000,7,1190000
0,12200000,12,120000,5,600000
0,12200000,13,140000,9,1260000
1,5400000,0,120000,6,720000
1,5400000,1,70000,10,700000
1,5400000,2,50000,6,300000
1,5400000,3,330000,5,1650000
1,5400000,4,50000,9,450000
1,5400000,5,120000,9,1080000
1,5400000,6,100000,5,500000
2,14170000,0,270000,5,1350000
2,14170000,1,190000,10,1900000
2,14170000,2,190000,7,1330000
2,14170000,3,200000,6,1200000
2,14170000,4,220000,9,1980000
2,14170000,5,60000,8,480000
2,14170000,6,170000,9,1530000
2,14170000,7,250000,6,1500000
2,14170000,8,50000,10,500000
2,14170000,9,200000,5,1000000
2,14170000,10,140000,10,1400000
3,5060000,0,90000,6,540000
3,5060000,1,80000,6,480000
3,5060000,2,120000,7,840000
3,5060000,3,100000,5,500000
3,5060000,4,150000,9,1350000
3,5060000,5,270000,5,1350000
4,8420000,0,200000,9,1800000
4,8420000,1,190000,7,1330000
4,8420000,2,360000,5,1800000
4,8420000,3,220000,6,1320000
4,8420000,4,230000,7,1610000
4,8420000,5,80000,7,560000
5,7030000,0,50000,6,300000
5,7030000,1,100000,7,700000
5,7030000,2,390000,5,1950000
5,7030000,3,190000,6,1140000
5,7030000,4,260000,6,1560000
5,7030000,5,230000,6,1380000
6,14060000,0,50000,6,300000
6,14060000,1,320000,5,1600000
6,14060000,2,290000,6,1740000
6,14060000,3,180000,7,1260000
6,14060000,4,180000,8,1440000
6,14060000,5,160000,5,800000
6,14060000,6,190000,6,1140000
6,14060000,7,170000,6,1020000
6,14060000,8,280000,7,1960000
6,14060000,9,380000,5,1900000
6,14060000,10,90000,10,900000
7,13510000,0,190000,9,1710000
7,13510000,1,150000,6,900000
7,13510000,2,250000,5,1250000
7,13510000,3,80000,5,400000
7,13510000,4,60000,9,540000
7,13510000,5,160000,7,1120000
7,13510000,6,210000,8,1680000
7,13510000,7,100000,10,1000000
7,13510000,8,100000,10,1000000
7,13510000,9,320000,5,1600000
7,13510000,10,180000,7,1260000
7,13510000,11,210000,5,1050000
8,12200000,0,200000,9,1800000
8,12200000,1,220000,7,1540000
8,12200000,2,200000,8,1600000
8,12200000,3,210000,7,1470000
8,12200000,4,80000,7,560000
8,12200000,5,190000,6,1140000
8,12200000,6,380000,5,1900000
8,12200000,7,70000,8,560000
8,12200000,8,130000,7,910000
8,12200000,9,90000,8,720000
9,6010000,0,170000,10,1700000
9,6010000,1,230000,7,1610000
9,6010000,2,320000,6,1920000
9,6010000,3,130000,6,780000
10,11110000,0,80000,5,400000
10,11110000,1,250000,6,1500000
10,11110000,2,140000,5,700000
10,11110000,3,170000,6,1020000
10,11110000,4,230000,6,1380000
10,11110000,5,110000,9,990000
10,11110000,6,100000,8,800000
10,11110000,7,60000,10,600000
10,11110000,8,140000,8,1120000
10,11110000,9,350000,5,1750000
10,11110000,10,170000,5,850000
11,9000000,0,90000,5,450000
11,9000000,1,140000,9,1260000
11,9000000,2,380000,5,1900000
11,9000000,3,140000,8,1120000
11,9000000,4,290000,6,1740000
11,9000000,5,240000,5,1200000
11,9000000,6,190000,7,1330000
12,5450000,0,210000,9,1890000
12,5450000,1,170000,9,1530000
12,5450000,2,190000,7,1330000
12,5450000,3,70000,10,700000
13,14220000,0,80000,10,800000
13,14220000,1,180000,7,1260000
13,14220000,2,320000,6,1920000
13,14220000,3,210000,6,1260000
13,14220000,4,150000,6,900000
13,14220000,5,140000,10,1400000
13,14220000,6,220000,7,1540000
13,14220000,7,50000,5,250000
13,14220000,8,190000,8,1520000
13,14220000,9,50000,9,450000
13,14220000,10,230000,6,1380000
13,14220000,11,220000,7,1540000
